pincode,district_name,state_name,serviceable,city_name,city_lat,city_long,pincode_lat,pincode_long
160036,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,30.7325393,76.7394237
160036,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,30.7325393,76.7394237
160047,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,30.699868100000003,76.750966
160047,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,30.699868100000003,76.750966
160101,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,30.7182961,76.82019759999999
160102,Chandigarh,CHANDIGARH,1,Chandigarh,30.7333148,76.7794179,30.684419899999995,76.82019759999999
201001,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999,28.664369699999998,77.4386429
201002,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999,28.680592600000004,77.45872390000001
201002,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999,28.680592600000004,77.45872390000001
201003,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999,28.7450989,77.4128193
201003,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999,28.7450989,77.4128193
201004,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999,28.7033152,77.35229670000001
201005,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999,28.6798179,77.34351559999999
201009,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999,28.615871000000002,77.4415118
201009,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999,28.615871000000002,77.4415118
201010,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999,28.6609173,77.3410569
201010,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999,28.6609173,77.3410569
201011,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999,28.6689719,77.3292002
201012,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999,28.6505315,77.3525419
201013,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999,28.684576,77.48597109999999
201013,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999,28.684576,77.48597109999999
201014,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999,28.6438234,77.3726379
201014,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999,28.6438234,77.3726379
201015,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999,28.6766136,77.5390127
201016,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999,28.6294093,77.43290479999999
201016,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999,28.6294093,77.43290479999999
201017,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999,28.7039815,77.43290479999999
201102,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999,28.788261300000002,77.2635038
201204,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999,28.8497207,77.5504779
201206,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999,28.809969,77.4931403
201206,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999,28.809969,77.4931403
201302,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999,31.032469,121.8556611
245304,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999,28.7310152,77.6307018
201008,Gautam Buddha Nagar,UTTAR PRADESH,1,Noida,28.535516100000002,77.3910265,28.6015779,77.5963271
201008,Gautam Buddha Nagar,UTTAR PRADESH,1,Noida,28.535516100000002,77.3910265,28.6015779,77.5963271
201301,Gautam Buddha Nagar,UTTAR PRADESH,1,Noida,28.535516100000002,77.3910265,28.5821195,77.3266991
201301,Gautam Buddha Nagar,UTTAR PRADESH,1,Noida,28.535516100000002,77.3910265,28.5821195,77.3266991
201303,Gautam Buddha Nagar,UTTAR PRADESH,1,Noida,28.535516100000002,77.3910265,28.561334499999997,77.3496708
201303,Gautam Buddha Nagar,UTTAR PRADESH,1,Noida,28.535516100000002,77.3910265,28.561334499999997,77.3496708
201304,Gautam Buddha Nagar,UTTAR PRADESH,1,Noida,28.535516100000002,77.3910265,28.536208399999996,77.37991219999999
201304,Gautam Buddha Nagar,UTTAR PRADESH,1,Noida,28.535516100000002,77.3910265,28.536208399999996,77.37991219999999
201305,Gautam Buddha Nagar,UTTAR PRADESH,1,Noida,28.535516100000002,77.3910265,28.5296568,77.3740831
201306,Gautam Buddha Nagar,UTTAR PRADESH,1,Noida,28.535516100000002,77.3910265,28.5199,77.45872390000001
201306,Gautam Buddha Nagar,UTTAR PRADESH,1,Noida,28.535516100000002,77.3910265,28.5199,77.45872390000001
201309,Gautam Buddha Nagar,UTTAR PRADESH,1,Noida,28.535516100000002,77.3910265,28.619794800000005,77.36115490000002
201310,Gautam Buddha Nagar,UTTAR PRADESH,1,Noida,28.535516100000002,77.3910265,28.4552521,77.5046101
302001,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.78727090000001,26.917891600000004,75.801538
302002,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.78727090000001,26.9357847,75.8336128
