pincode,district_name,state_name,serviceable,city_name,city_lat,city_long
245301,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999
245304,Ghaziabad,UTTAR PRADESH,1,Ghaziabad,28.6691565,77.45375779999999
201008,Gautam Buddha Nagar,UTTAR PRADESH,1,Noida,28.5355161,77.3910265
201301,Gautam Buddha Nagar,UTTAR PRADESH,1,Noida,28.5355161,77.3910265
201303,Gautam Buddha Nagar,UTTAR PRADESH,1,Noida,28.5355161,77.3910265
201304,Gautam Buddha Nagar,UTTAR PRADESH,1,Noida,28.5355161,77.3910265
201305,Gautam Buddha Nagar,UTTAR PRADESH,1,Noida,28.5355161,77.3910265
201306,Gautam Buddha Nagar,UTTAR PRADESH,1,Noida,28.5355161,77.3910265
201307,Gautam Buddha Nagar,UTTAR PRADESH,1,Noida,28.5355161,77.3910265
201308,Gautam Buddha Nagar,UTTAR PRADESH,1,Noida,28.5355161,77.3910265
201309,Gautam Buddha Nagar,UTTAR PRADESH,1,Noida,28.5355161,77.3910265
201310,Gautam Buddha Nagar,UTTAR PRADESH,1,Noida,28.5355161,77.3910265
201311,Gautam Buddha Nagar,UTTAR PRADESH,1,Noida,28.5355161,77.3910265
201312,Gautam Buddha Nagar,UTTAR PRADESH,1,Noida,28.5355161,77.3910265
201313,Gautam Buddha Nagar,UTTAR PRADESH,1,Noida,28.5355161,77.3910265
201314,Gautam Buddha Nagar,UTTAR PRADESH,1,Noida,28.5355161,77.3910265
201315,Gautam Buddha Nagar,UTTAR PRADESH,1,Noida,28.5355161,77.3910265
203135,Gautam Buddha Nagar,UTTAR PRADESH,1,Noida,28.5355161,77.3910265
203141,Gautam Buddha Nagar,UTTAR PRADESH,1,Noida,28.5355161,77.3910265
203201,Gautam Buddha Nagar,UTTAR PRADESH,1,Noida,28.5355161,77.3910265
203203,Gautam Buddha Nagar,UTTAR PRADESH,1,Noida,28.5355161,77.3910265
203207,Gautam Buddha Nagar,UTTAR PRADESH,1,Noida,28.5355161,77.3910265
203209,Gautam Buddha Nagar,UTTAR PRADESH,1,Noida,28.5355161,77.3910265
302001,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
302002,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
302003,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
302004,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
302005,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
302006,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
302012,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
302013,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
302015,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
302016,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
302017,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
302018,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
