,actor,applicationid,from_status,substatuses,userid
1012,siddharthan.l,48590,INITIATED,"[""FOIR""]",395716
1013,siddharthan.l,48602,INITIATED,"[""FOIR""]",460372
1014,siddharthan.l,48604,INITIATED,"[""FOIR""]",397106
1015,vineeth.s,48613,INITIATED,"[""FOIR"", ""OVERDUES""]",460290
1016,anurag.prateek,48623,CREDIT_PENDING,"[""FOIR""]",449375
1017,lakshmidevi.m,48627,INITIATED,"[""FOIR""]",460494
1018,lakshmidevi.m,48632,INITIATED,"[""FOIR""]",460415
1019,preetham.shetty,48636,INITIATED,"[""FOIR""]",9071
1020,pranjusha.periyambra,48653,INITIATED,"[""FOIR""]",460376
1021,pranjusha.periyambra,48655,INITIATED,"[""FOIR""]",458753
1022,pranjusha.periyambra,48660,INITIATED,"[""FOIR""]",242764
1023,pranjusha.periyambra,48661,INITIATED,"[""FOIR""]",47249
1024,lakshmidevi.m,48675,INITIATED,"[""FOIR""]",438053
1025,lakshmidevi.m,48679,INITIATED,"[""MCA_NOT_FOUND""]",458961
1026,lakshmidevi.m,48692,INITIATED,"[""FOIR"", ""OVERDUES""]",225102
1027,aparajita.bariyar,48715,INITIATED,"[""FOIR""]",460590
1028,lakshmidevi.m,48716,INITIATED,"[""FOIR""]",459464
1029,pranjusha.periyambra,48719,INITIATED,"[""FOIR""]",367860
1030,aparajita.bariyar,48720,INITIATED,"[""LLP_AND_PARTNERSHIP""]",461382
1031,namra.ruknuddin,48728,CREDIT_PENDING,"[""FOIR""]",213271
1032,aparajita.bariyar,48730,INITIATED,"[""PROPRIETORSHIP""]",365329
1033,prashanth.eswaramoorti,48738,INITIATED,"[""FOIR""]",418146
1034,prashanth.eswaramoorti,48740,INITIATED,"[""FOIR"", ""CIBIL_MIN"", ""OVERDUES""]",461603
1035,preetham.shetty,48741,INITIATED,"[""FOIR""]",123155
1036,prashanth.eswaramoorti,48754,INITIATED,"[""PROPRIETORSHIP""]",460808
1037,prashanth.eswaramoorti,48756,INITIATED,"[""FOIR""]",461235
1038,prashanth.eswaramoorti,48759,INITIATED,"[""FOIR""]",461602
1039,prashanth.eswaramoorti,48760,INITIATED,"[""FOIR""]",319462
1040,pranjusha.periyambra,48761,INITIATED,"[""FOIR""]",194696
1041,pranjusha.periyambra,48762,INITIATED,"[""FOIR""]",345230
1042,siddharthan.l,48767,INITIATED,"[""FOIR""]",456069
1043,siddharthan.l,48783,INITIATED,"[""FOIR""]",457735
1044,thirunaukkarasu.v,48795,CREDIT_PENDING,"[""FOIR""]",303195
1045,prashanth.eswaramoorti,48798,INITIATED,"[""FOIR"", ""CHEQUE_BOUNCES""]",186594
1046,sumalatha.thadimari,48799,INITIATED,"[""FOIR""]",396179
1047,sumalatha.thadimari,48800,INITIATED,"[""FOIR""]",462439
1048,sumalatha.thadimari,48804,INITIATED,"[""FOIR""]",237397
1049,sumalatha.thadimari,48808,INITIATED,"[""FOIR""]",457493
1050,sumalatha.thadimari,48809,INITIATED,"[""FOIR"", ""SALARY_MODE""]",460962
1051,sumalatha.thadimari,48810,INITIATED,"[""MCA_NOT_FOUND""]",69527
1052,sumalatha.thadimari,48811,INITIATED,"[""MCA_NOT_FOUND""]",92974
1053,sumalatha.thadimari,48812,INITIATED,"[""MCA_NOT_FOUND""]",462618
1054,sumalatha.thadimari,48813,INITIATED,"[""FOIR""]",34474
1055,sumalatha.thadimari,48814,INITIATED,"[""FOIR""]",444552
1056,sumalatha.thadimari,48815,INITIATED,"[""FOIR""]",461714
1057,siddharthan.l,48824,INITIATED,"[""FOIR""]",442627
1058,siddharthan.l,48825,INITIATED,"[""FOIR""]",461919
1059,lakshmidevi.m,48841,INITIATED,"[""FOIR""]",70476
1060,sumalatha.thadimari,48844,INCOMPLETE_INFO,"[""FOIR""]",165302
1061,vineeth.s,48871,INITIATED,"[""MCA_NOT_FOUND""]",290533
1062,vineeth.s,48881,INITIATED,"[""FOIR""]",463524
1063,anurag.prateek,48891,CREDIT_PENDING,"[""FOIR""]",463223
1064,pranjusha.periyambra,48896,INITIATED,"[""PROPRIETORSHIP""]",463611
1065,aparajita.bariyar,48922,INITIATED,"[""FOIR""]",463703
1066,pranjusha.periyambra,48934,INITIATED,"[""FOIR""]",245903
1067,pranjusha.periyambra,48935,INITIATED,"[""FOIR""]",462956
1068,namra.ruknuddin,48941,CREDIT_PENDING,"[""FOIR""]",447507
1069,pranjusha.periyambra,48946,INITIATED,"[""FOIR""]",464155
1070,pranjusha.periyambra,48949,INITIATED,"[""FOIR""]",464244
1071,sumalatha.thadimari,48955,INITIATED,"[""MCA_NOT_FOUND""]",461575
1072,sumalatha.thadimari,48958,INITIATED,"[""FOIR""]",461162
1073,sumalatha.thadimari,48959,INITIATED,"[""FOIR""]",464295
1074,sumalatha.thadimari,48969,INITIATED,"[""FOIR""]",458663
1075,siddharthan.l,48974,INITIATED,"[""FOIR""]",464293
1076,anurag.prateek,48989,CREDIT_PENDING,"[""FOIR""]",256394
1077,siddharthan.l,48990,INITIATED,"[""FOIR""]",464495
1078,preetham.shetty,49004,INITIATED,"[""MCA_NOT_FOUND""]",462206
1079,preetham.shetty,49006,INITIATED,"[""LLP_AND_PARTNERSHIP""]",318151
1080,vineeth.s,49015,INCOMPLETE_INFO,"[""FOIR""]",63008
1081,vineeth.s,49016,INITIATED,"[""MCA_NOT_FOUND""]",465110
1082,vineeth.s,49017,INITIATED,"[""FOIR""]",462158
1083,pranjusha.periyambra,49018,INITIATED,"[""FOIR""]",465114
1084,prashanth.eswaramoorti,49021,INITIATED,"[""FOIR""]",460695
1085,sumalatha.thadimari,49038,INITIATED,"[""MCA_NOT_FOUND""]",462689
1086,sumalatha.thadimari,49041,INITIATED,"[""FOIR""]",463668
1087,sumalatha.thadimari,49042,INITIATED,"[""FOIR""]",216346
